epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,4826.8,1.12955,2.04362,0.8881,1.20119,0.77771,0.66258,0.74119,0.47384,0.78348,0.65406,0.72552,0.38753,1.21849,2.04665,0.84559,1.20457,0.0006502,0.0006502,0.0006502
108,4870.5,1.12513,2.0335,0.88312,1.19823,0.77798,0.66368,0.74197,0.47395,0.78049,0.65452,0.72495,0.3871,1.2184,2.04781,0.84523,1.20459,0.0006469,0.0006469,0.0006469
109,4914.62,1.12302,2.0396,0.88274,1.20254,0.78394,0.66136,0.74272,0.47333,0.7829,0.65308,0.72544,0.38726,1.21802,2.04724,0.846,1.20445,0.0006436,0.0006436,0.0006436
110,4959.06,1.12459,2.03883,0.88667,1.20069,0.78246,0.66368,0.74298,0.47348,0.78468,0.65274,0.72457,0.38714,1.21832,2.04659,0.84658,1.20486,0.0006403,0.0006403,0.0006403
111,5003.62,1.12392,2.03773,0.88536,1.19937,0.78385,0.66302,0.74307,0.47335,0.78438,0.65273,0.72372,0.38697,1.21874,2.04612,0.84672,1.2055,0.000637,0.000637,0.000637
112,5048.97,1.12833,2.0369,0.88363,1.20232,0.77915,0.66501,0.74276,0.47387,0.78744,0.65075,0.72275,0.38708,1.2199,2.0466,0.84578,1.20632,0.0006337,0.0006337,0.0006337
113,5091.83,1.11712,2.03545,0.87708,1.19802,0.77793,0.66807,0.74241,0.47375,0.78119,0.65041,0.72187,0.38615,1.22012,2.0476,0.84527,1.20612,0.0006304,0.0006304,0.0006304
114,5136.24,1.12202,2.0371,0.8868,1.20052,0.77923,0.66667,0.742,0.4734,0.78523,0.65075,0.72145,0.38694,1.22082,2.04825,0.84498,1.20677,0.0006271,0.0006271,0.0006271
115,5181.16,1.11695,2.02415,0.88277,1.19247,0.77768,0.66714,0.74089,0.47322,0.78652,0.64942,0.722,0.38737,1.22081,2.04826,0.84536,1.20664,0.0006238,0.0006238,0.0006238
116,5225.99,1.12196,2.03769,0.88678,1.19763,0.77956,0.666,0.74141,0.47335,0.78377,0.64942,0.72239,0.38679,1.2212,2.04781,0.8456,1.20673,0.0006205,0.0006205,0.0006205
117,5269.7,1.11823,2.0262,0.87668,1.19713,0.77819,0.667,0.74104,0.47318,0.78544,0.64942,0.72172,0.38687,1.22083,2.04799,0.8461,1.20642,0.0006172,0.0006172,0.0006172
